degradation,severity,T,ece_before,ece_after,brier_before,brier_after
clean,0,0.5,0.0904,0.0024,0.0183,0.01
glare,1,0.5,0.0798,0.008,0.0262,0.0199
glare,2,0.5,0.0606,0.0571,0.0634,0.0673
glare,3,0.5,0.0555,0.1158,0.1063,0.123
jpeg,1,0.5,0.1075,0.0024,0.0171,0.0096
jpeg,2,0.5,0.1071,0.0022,0.0171,0.0096
jpeg,3,0.5,0.1122,0.0278,0.0391,0.0383
low_light,1,0.5,0.1031,0.0073,0.0217,0.0104
low_light,2,0.5,0.0392,0.0666,0.0754,0.0797
low_light,3,0.5,0.6505,0.7564,0.5897,0.7421
motion_blur,1,0.5,0.099,0.012,0.0098,0.0001
motion_blur,2,0.5,0.1072,0.002,0.0173,0.0098
motion_blur,3,0.5,0.0475,0.0576,0.0651,0.0681
resample,1,0.5,0.0899,0.0021,0.0181,0.01
resample,2,0.5,0.0667,0.0382,0.0494,0.0491
resample,3,0.5,0.0364,0.0685,0.0747,0.0788
rotation,1,0.5,0.0995,0.0121,0.0099,0.0001
rotation,2,0.5,0.0975,0.0076,0.0251,0.0193
rotation,3,0.5,0.09,0.0022,0.018,0.0099
