model,degradation,severity,n,accuracy,acc_lo,acc_hi,auroc_int,auroc_int_lo,auroc_int_hi,int_mean
SmolVLM-Instruct,clean,0,100,0.97,0.93,1.0,0.7732,0.5816,1.0,0.9351
SmolVLM-Instruct,glare,1,100,0.94,0.89,0.98,0.6259,0.3178,0.9394,0.9354
SmolVLM-Instruct,glare,2,100,0.87,0.8,0.93,0.7657,0.6047,0.8975,0.9147
SmolVLM-Instruct,glare,3,100,0.74,0.65,0.82,0.67,0.5519,0.7765,0.9046
SmolVLM-Instruct,jpeg,1,100,0.97,0.93,1.0,0.622,0.3333,0.9798,0.9216
SmolVLM-Instruct,jpeg,2,100,0.95,0.9,0.99,0.6484,0.3517,0.9383,0.9165
SmolVLM-Instruct,jpeg,3,100,0.89,0.83,0.95,0.7518,0.5773,0.9016,0.9009
SmolVLM-Instruct,low_light,1,100,0.98,0.95,1.0,0.9643,0.9193,0.9966,0.9404
SmolVLM-Instruct,low_light,2,100,0.92,0.86,0.97,0.7568,0.5531,0.9245,0.9264
SmolVLM-Instruct,low_light,3,100,0.42,0.32,0.52,0.5411,0.4187,0.6604,0.8383
SmolVLM-Instruct,motion_blur,1,100,0.97,0.93,1.0,0.7698,0.4796,1.0,0.9293
SmolVLM-Instruct,motion_blur,2,100,0.96,0.92,0.99,0.6797,0.4249,1.0,0.9216
SmolVLM-Instruct,motion_blur,3,100,0.94,0.89,0.98,0.6773,0.4042,0.9376,0.9081
SmolVLM-Instruct,resample,1,100,0.96,0.92,0.99,0.8099,0.602,0.9798,0.9299
SmolVLM-Instruct,resample,2,100,0.97,0.93,1.0,0.6323,0.3546,0.8556,0.9162
SmolVLM-Instruct,resample,3,100,0.92,0.86,0.97,0.6209,0.4974,0.7457,0.9014
SmolVLM-Instruct,rotation,1,100,0.96,0.92,0.99,0.9115,0.8282,1.0,0.9425
SmolVLM-Instruct,rotation,2,100,0.97,0.93,1.0,0.921,0.8182,1.0,0.9376
SmolVLM-Instruct,rotation,3,100,0.96,0.92,0.99,0.9167,0.7071,1.0,0.9348
